DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:10:09.560000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:10:09.560000')
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:24:57.294000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:24:57.294000')
DEBUG:django.db.backends:(0.001) QUERY = u'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
DEBUG:django.db.backends:(0.001) QUERY = u'BEGIN' - PARAMS = (); args=None
DEBUG:django.db.backends:(0.000) QUERY = u'INSERT INTO "dhl_brokeruser" ("name", "email") VALUES (%s, %s)' - PARAMS = (u'userAdmins', u't.stanislawek@gmail.com'); args=[u'userAdmins', u't.stanislawek@gmail.com']
INFO:root:<Error : expected `SOAP-ENV:Envelope', got `wsdl:definitions'>
INFO:root:<Error : expected `SOAP-ENV:Envelope', got `wsdl:definitions'>
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 10:51:19.859000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 10:51:19.859000')
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
DEBUG:django.db.backends:(0.001) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 10:54:32.749000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 10:54:32.749000')
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
DEBUG:django.db.backends:(0.001) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 11:09:59.577000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 11:09:59.577000')
DEBUG:django.db.backends:(0.001) QUERY = u'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 15:52:53.697000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 15:52:53.697000')
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
DEBUG:django.db.backends:(0.001) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 15:53:40.970000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 15:53:40.970000')
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
DEBUG:django.db.backends:(0.001) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 16:36:10.225000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 16:36:10.225000')
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
DEBUG:django.db.backends:(0.001) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 17:50:53.121000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 17:50:53.121000')
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
